2026-07-03 10:41:38,122 | INFO | src.daily_sync | Resuming partial reprocess for 2026-06-21 (1 rows in DB)
2026-07-03 10:41:38,134 | INFO | src.daily_sync | Reprocessing 2026-06-21 (window ends 2026-06-22T08:00:00+09:00)
2026-07-03 10:41:38,247 | WARNING | src.fetchers.rss | Malformed feed 정책브리핑 정책뉴스: <unknown>:27:2: mismatched tag
2026-07-03 10:41:38,334 | WARNING | src.fetchers.rss | Malformed feed 정책브리핑 전문자료: <unknown>:27:2: mismatched tag
2026-07-03 10:41:38,435 | WARNING | src.fetchers.rss | Malformed feed 정책브리핑 K-공감: <unknown>:27:2: mismatched tag
2026-07-03 10:41:46,914 | WARNING | src.fetchers.rss | Malformed feed 정책브리핑 과기정통부: <unknown>:27:2: mismatched tag
2026-07-03 10:41:47,112 | WARNING | src.fetchers.rss | Malformed feed 정책브리핑 산업통상부: <unknown>:27:2: mismatched tag
2026-07-03 10:41:47,177 | WARNING | src.fetchers.rss | Malformed feed 정책브리핑 중소벤처기업부: <unknown>:27:2: mismatched tag
2026-07-03 10:41:47,243 | WARNING | src.fetchers.rss | Malformed feed 정책브리핑 국토교통부: <unknown>:27:2: mismatched tag
2026-07-03 10:41:47,322 | WARNING | src.fetchers.rss | Malformed feed 정책브리핑 기후에너지환경부: <unknown>:27:2: mismatched tag
2026-07-03 10:41:47,389 | WARNING | src.fetchers.rss | Malformed feed 정책브리핑 교육부: <unknown>:27:2: mismatched tag
2026-07-03 10:41:47,452 | WARNING | src.fetchers.rss | Malformed feed 정책브리핑 보건복지부: <unknown>:27:2: mismatched tag
2026-07-03 10:41:47,534 | WARNING | src.fetchers.rss | Malformed feed 정책브리핑 국방부: <unknown>:27:2: mismatched tag
2026-07-03 10:41:47,601 | WARNING | src.fetchers.rss | Malformed feed 정책브리핑 우주항공청: <unknown>:27:2: mismatched tag
2026-07-03 10:41:50,151 | WARNING | src.fetchers.rss | Malformed feed KETEP 알림마당: <unknown>:48:2: mismatched tag
2026-07-03 10:41:50,734 | WARNING | src.fetchers.rss | Malformed feed 한국전력 보도자료: <unknown>:157:15: not well-formed (invalid token)
2026-07-03 10:41:50,967 | INFO | src.korea_scope | Domestic news filter (연합뉴스 경제): 119 kept, 1 foreign/non-domestic excluded
2026-07-03 10:41:50,977 | INFO | src.fetchers.rss | RSS 연합뉴스 경제: excluded 1 foreign/non-domestic entry at fetch time
2026-07-03 10:41:51,371 | INFO | src.korea_scope | Domestic news filter (동아일보 경제): 49 kept, 1 foreign/non-domestic excluded
2026-07-03 10:41:51,382 | INFO | src.fetchers.rss | RSS 동아일보 경제: excluded 1 foreign/non-domestic entry at fetch time
2026-07-03 10:41:51,451 | INFO | src.korea_scope | Domestic news filter (경향신문 경제): 46 kept, 4 foreign/non-domestic excluded
2026-07-03 10:41:51,461 | INFO | src.fetchers.rss | RSS 경향신문 경제: excluded 4 foreign/non-domestic entries at fetch time
2026-07-03 10:41:51,618 | INFO | src.korea_scope | Domestic news filter (파이낸셜뉴스): 114 kept, 13 foreign/non-domestic excluded
2026-07-03 10:41:51,619 | INFO | src.fetchers.rss | RSS 파이낸셜뉴스: excluded 13 foreign/non-domestic entries at fetch time
2026-07-03 10:41:51,880 | INFO | src.korea_scope | Domestic news filter (헤럴드경제): 275 kept, 25 foreign/non-domestic excluded
2026-07-03 10:41:51,891 | INFO | src.fetchers.rss | RSS 헤럴드경제: excluded 25 foreign/non-domestic entries at fetch time
2026-07-03 10:41:51,954 | INFO | src.korea_scope | Domestic news filter (전자신문 IT): 20 kept, 10 foreign/non-domestic excluded
2026-07-03 10:41:51,963 | INFO | src.fetchers.rss | RSS 전자신문 IT: excluded 10 foreign/non-domestic entries at fetch time
2026-07-03 10:41:52,024 | INFO | src.korea_scope | Domestic news filter (전자신문 통신/방송): 28 kept, 2 foreign/non-domestic excluded
2026-07-03 10:41:52,025 | INFO | src.fetchers.rss | RSS 전자신문 통신/방송: excluded 2 foreign/non-domestic entries at fetch time
2026-07-03 10:41:52,927 | INFO | src.korea_scope | Domestic news filter (한겨레 과학): 29 kept, 1 foreign/non-domestic excluded
2026-07-03 10:41:52,937 | INFO | src.fetchers.rss | RSS 한겨레 과학: excluded 1 foreign/non-domestic entry at fetch time
2026-07-03 10:41:53,017 | INFO | src.korea_scope | Domestic news filter (동아일보 과학): 43 kept, 7 foreign/non-domestic excluded
2026-07-03 10:41:53,028 | INFO | src.fetchers.rss | RSS 동아일보 과학: excluded 7 foreign/non-domestic entries at fetch time
2026-07-03 10:41:53,356 | INFO | httpx | HTTP Request: GET https://www.korea.kr/news/policyNewsList.do?pageIndex=1&startDate=2026-06-21&endDate=2026-06-21 "HTTP/1.1 200 OK"
2026-07-03 10:41:53,584 | INFO | httpx | HTTP Request: GET https://www.korea.kr/news/policyNewsList.do?pageIndex=2&startDate=2026-06-21&endDate=2026-06-21 "HTTP/1.1 200 OK"
2026-07-03 10:41:53,792 | INFO | httpx | HTTP Request: GET https://www.korea.kr/briefing/pressReleaseList.do?pageIndex=1&startDate=2026-06-21&endDate=2026-06-21 "HTTP/1.1 200 OK"
2026-07-03 10:41:53,965 | INFO | httpx | HTTP Request: GET https://www.korea.kr/briefing/pressReleaseList.do?pageIndex=2&startDate=2026-06-21&endDate=2026-06-21 "HTTP/1.1 200 OK"
2026-07-03 10:41:54,127 | INFO | httpx | HTTP Request: GET https://www.korea.kr/briefing/pressReleaseList.do?pageIndex=3&startDate=2026-06-21&endDate=2026-06-21 "HTTP/1.1 200 OK"
2026-07-03 10:41:54,277 | INFO | httpx | HTTP Request: GET https://www.korea.kr/briefing/actuallyList.do?pageIndex=1&startDate=2026-06-21&endDate=2026-06-21 "HTTP/1.1 200 OK"
2026-07-03 10:41:54,462 | INFO | httpx | HTTP Request: GET https://www.korea.kr/briefing/actuallyList.do?pageIndex=2&startDate=2026-06-21&endDate=2026-06-21 "HTTP/1.1 200 OK"
2026-07-03 10:41:54,610 | INFO | httpx | HTTP Request: GET https://www.korea.kr/archive/expDocList.do?pageIndex=1&startDate=2026-06-21&endDate=2026-06-21&group=T "HTTP/1.1 200 OK"
2026-07-03 10:41:54,741 | INFO | httpx | HTTP Request: GET https://www.korea.kr/archive/expDocList.do?pageIndex=2&startDate=2026-06-21&endDate=2026-06-21&group=T "HTTP/1.1 200 OK"
2026-07-03 10:41:54,772 | INFO | src.fetchers.korea_kr_archive | korea.kr archive (log_date=2026-06-21): fetched 16 article(s)
2026-07-03 10:41:54,774 | INFO | src.pipeline | Merged 16 korea.kr archive article(s) for 2026-06-21
2026-07-03 10:41:54,990 | INFO | httpx | HTTP Request: GET https://www.pacst.go.kr/jsp/board/boardList.jsp?board_id=4&cpage=1 "HTTP/1.1 200 OK"
2026-07-03 10:41:55,192 | INFO | httpx | HTTP Request: GET https://www.pacst.go.kr/jsp/board/boardList.jsp?board_id=4&cpage=2 "HTTP/1.1 200 OK"
2026-07-03 10:41:55,502 | INFO | httpx | HTTP Request: GET https://www.pacst.go.kr/jsp/board/boardList.jsp?board_id=3&cpage=1 "HTTP/1.1 200 OK"
2026-07-03 10:41:55,820 | INFO | httpx | HTTP Request: GET https://www.pacst.go.kr/jsp/board/boardList.jsp?board_id=3&cpage=2 "HTTP/1.1 200 OK"
2026-07-03 10:41:56,123 | INFO | httpx | HTTP Request: GET https://www.pacst.go.kr/jsp/board/boardList.jsp?board_id=2&cpage=1 "HTTP/1.1 200 OK"
2026-07-03 10:41:56,404 | INFO | httpx | HTTP Request: GET https://www.pacst.go.kr/jsp/board/boardList.jsp?board_id=2&cpage=2 "HTTP/1.1 200 OK"
2026-07-03 10:41:56,663 | INFO | httpx | HTTP Request: GET https://www.pacst.go.kr/jsp/adv/advboardList.jsp?board_id=2&cpage=1 "HTTP/1.1 200 OK"
2026-07-03 10:41:56,951 | INFO | httpx | HTTP Request: GET https://www.pacst.go.kr/jsp/adv/advboardList.jsp?board_id=2&cpage=2 "HTTP/1.1 200 OK"
2026-07-03 10:41:57,102 | INFO | httpx | HTTP Request: GET https://www.pacst.go.kr/jsp/adv/advboardList.jsp?board_id=1&cpage=1 "HTTP/1.1 200 OK"
2026-07-03 10:41:57,113 | INFO | src.fetchers.pacst | PACST archive (log_date=2026-06-21): fetched 0 article(s)
2026-07-03 10:41:57,115 | INFO | src.pipeline | Calendar-day filter (log_date=2026-06-21, window_end=2026-06-22T08:00:00+09:00): 2255 → 16 articles
2026-07-03 10:41:57,561 | INFO | httpx | HTTP Request: GET https://www.korea.kr/briefing/pressReleaseView.do?newsId=156767427 "HTTP/1.1 200 OK"
2026-07-03 10:41:57,847 | INFO | httpx | HTTP Request: GET https://www.korea.kr/common/download.do?fileId=198493488&tblKey=GMN "HTTP/1.1 200 OK"
2026-07-03 10:41:58,212 | INFO | httpx | HTTP Request: GET https://www.korea.kr/common/download.do?fileId=198493489&tblKey=GMN "HTTP/1.1 200 OK"
